Symbol,Market_cap,Enterprise_value,Price_to_sale,Price_to_book,Value_to_revenue,Value_to_EBITDA,Profit_margin,Operating_margin,Return_on_asset,Return_on_equity,Revenue,Revenue_per_share,Quarterly_revenue_growth,Gross_profit,EBITDA,Netincome_avi_to_common,Dilutted_eps,Total_cash,Total_cash_per_share,Total_debt,Total_debt_to_equity,Current_ratio,Book_value_per_share,Operating_cash_flow,Levered_Free_cash_flow,current_price,last_quarter_price,last_year_price
CWST,3900000000.0,4340000000.0,4.75,10.05,17.95,78.82,0.1119,0.0959,0.0447,0.34130000000000005,847610000.0,16.59,0.19399999999999998,258940000.0,179270000.0,94870000.0,1.85,46480000.0,0.9,625240000.0,153.26,0.94,7.94,162100000.0,56010000.0,75.94000244140625,63.43000030517578,55.849998474121094
CXDO,129139999.99999999,124270000.0,5.94,1.99,14.11,205.4,0.2271,-0.029900000000000003,-0.0088,0.12990000000000002,23420000.0,1.21,1.126,11440000.0,55000.0,5320000.0,0.275,7700000.0,0.35,3020000.0,4.59,1.36,3.03,-249000.0,5510000.0,5.989999771118164,6.110000133514404,5.590000152587891
CYAN,17800000.0,26540000.0,0.53,1.01,2.82,17.21,0.060899999999999996,0.038599999999999995,0.0262,0.1213,34800000.0,5.7,0.099,11230000.0,3040000.0,2120000.0,0.34,2130000.0,0.34,9050000.0,48.61,3.31,3.03,1690000.0,786250.0,2.9000000953674316,3.0399999618530273,2.450000047683716
CYBE,261709999.99999997,248550000.0,3.31,3.71,8.95,43.06,0.1235,0.1387,0.08560000000000001,0.1558,87570000.0,12.0,0.33299999999999996,31220000.0,14760000.0,10810000.0,1.44,17920000.0,2.44,3430000.0,4.56,4.08,10.23,8590000.0,2390000.0,35.58000183105469,40.959999084472656,31.84000015258789
CYBR,6270000000.0,5810000000.0,12.83,8.78,47.78,-241.12,-0.1109,-0.0902,-0.018000000000000002,-0.0794,496120000.0,12.6,0.141,382310000.0,-29730000.0,-55010000.0,-1.4,978330000.0,24.55,515590000.00000006,72.07,3.67,17.95,93250000.0,122790000.0,157.82000732421875,130.27000427246094,103.41999816894531
CYCN,132860000.00000001,65980000.00000001,29.02,2.04,189.59,-5.87,0.0,-15.4715,-0.344,-0.9124,3540000.0,0.1,-0.13,-46420000.0,-53910000.0,-60100000.0,-1.633,62500000.0,1.44,3510000.0,6.22,5.61,1.3,-41930000.0,-22810000.0,3.069999933242798,3.9000000953674316,6.079999923706055
CYRN,56470000.0,71760000.0,1.22,3.4,9.62,-18.68,-0.6377,-0.5689,-0.1761,-1.1333,32270000.000000004,0.46,-0.18100000000000002,21600000.0,-13210000.0,-20580000.0,-0.291,17930000.0,0.2,28750000.0,138.46,0.96,0.23,-15420000.0,-8450000.0,0.6200000047683716,0.8100000023841858,1.0800000429153442
CYRX,3070000000.0,2870000000.0,16.54,4.79,50.54,3390.0,-0.1257,-0.056799999999999996,-0.0141,-0.0703,214530000.0,4.89,4.075,36330000.0,10120000.0,-75500000.0,-1.72,349480000.0,7.55,135730000.0,20.97,9.99,13.83,-4200000.0,-19410000.0,66.51000213623047,63.099998474121094,47.400001525878906
CYTH,43460000.0,32180000.0,45.03,3.92,79.67,-8.35,0.0,-12.3695,-1.1638,-3.9912,1150000.0,0.23,0.816,829790.0,-14160000.0,-14170000.0,-2.808,8440000.0,1.31,175610.0,2.3,3.21,1.18,-15450000.0,-9920000.0,6.75,10.229999542236328,14.0
CYTK,3000000000.0,2900000000.0,43.62,181.69,532.71,-42.28,0.0,-9.3279,-0.193,-1.1473,21550000.0,0.29,-0.87,-41120000.0,-199000000.0,-228670000.0,-3.11,477640000.0,5.69,266339999.99999997,106.95,6.12,2.97,-45630000.0,-137750000.0,35.7400016784668,19.790000915527344,21.649999618530273
